                 lexeme	                 lineno	              tokenName	          valueIfNumber	       parentNodeSymbol	             isLeafNode	             NodeSymbol	                 ruleNo	

                  _sumN	                      4	               TK_FUNID	                   ----	               function	                    yes	                   ----	                      0
                 c4bd56	                     21	                  TK_ID	                   ----	       outputParameters	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                     37	                     no	       outputParameters	                     42
                  _sumN	                     21	               TK_FUNID	                   ----	            funCallStmt	                    yes	                   ----	                      0
                     b3	                     21	                  TK_ID	                   ----	        inputParameters	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                     37	                     no	        inputParameters	                     44
                   ----	                   ----	                   ----	                   ----	                     23	                     no	            funCallStmt	                     41
                  write	                     22	               TK_WRITE	                   ----	                 ioStmt	                    yes	                   ----	                      0
                 c4bd56	                     22	                  TK_ID	                   ----	                 allVar	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                     50	                     no	                 allVar	                     51
                   ----	                   ----	                   ----	                   ----	                     23	                     no	                 ioStmt	                     50
                   ----	                   ----	                   ----	                   ----	                     23	                     no	             returnStmt	                     89
                   ----	                   ----	                   ----	                   ----	                     36	                     no	                  stmts	                     17
                   ----	                   ----	                   ----	                   ----	                     19	                     no	           mainFunction	                      2
                   ----	                   ----	                   ----	                   ----	                   ROOT	                     no	                program	                      1
